uniprot_accession	gene_symbol	mitocarta_status	mitocarta_compartment	mitocarta_is_matrix	mitocarta_is_im	mitocarta_is_ims	mitocarta_is_om	has_transit_peptide	transit_peptide_start	transit_peptide_end	transit_peptide_note	has_signal_peptide	signal_peptide_start	signal_peptide_end	uniprot_subcellular	is_hsp60_substrate	is_in_mito_proteome	targeting_classification
0	FMC1	MitoCarta	MIM	False	True	False	False	False				False				False	True	Inner membrane (MIM)
A0A087WU62	MRPL45	Not in MitoCarta		False	False	False	False	False				False			SUBCELLULAR LOCATION: Mitochondrion {ECO:0000256|ARBA:ARBA00004173}.	True	False	Non-mitochondrial / no targeting signal
A0A0B4J2F0	PIGBOS1	MitoCarta	MOM	False	False	False	True	False				False			SUBCELLULAR LOCATION: Mitochondrion outer membrane {ECO:0000269|PubMed:31653868}; Single-pass membrane protein {ECO:0000255}.	False	True	Outer membrane (MOM)
A1L188	NDUFAF8	MitoCarta	IMS	False	False	True	False	False				False			SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:27499296}.	False	True	Intermembrane space (IMS)
A3KMH1	VWA8	MitoCarta	Matrix	True	False	False	False	True	1.0	28.0	Mitochondrion	False			SUBCELLULAR LOCATION: [Isoform 1]: Mitochondrion {ECO:0000269|PubMed:30204880}.; SUBCELLULAR LOCATION: [Isoform 2]: Mitochondrion {ECO:0000269|PubMed:30204880}. Peroxisome {ECO:0000269|PubMed:30204880}. Note=Localizes to peroxisomes in a PEX7-dependent manner. {ECO:0000269|PubMed:30204880}.	False	True	High-confidence matrix
A4D1E9	GTPBP10	MitoCarta	Matrix	True	False	False	False	False				False			SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:17054726}. Chromosome {ECO:0000269|PubMed:17054726}. Note=Found in the dense fibrillar compartment region of the nucleolus. At the onset of mitosis moves to the chromosome surface and remains there until anaphase. Gradually re-assembles into the nucleolus at late anaphase to telophase.	False	True	Non-canonical matrix import
A6NC05	C5orf63	MitoCarta	Matrix	True	False	False	False	False				False				False	True	Non-canonical matrix import
A6NFY7	SDHAF1	MitoCarta	Matrix	True	False	False	False	False				False			SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000305|PubMed:19465911}.	False	True	Non-canonical matrix import
A6NJ78	METTL15	MitoCarta	Matrix	True	False	False	False	False				False			SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000269|PubMed:31665743, ECO:0000269|PubMed:32371392}.	False	True	Non-canonical matrix import
A6NK06	ACOD1	MitoCarta	Matrix	True	False	False	False	False				False			SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250|UniProtKB:P54987}.	False	True	Non-canonical matrix import
